trade,scope_category,labor_hours,labor_rate,labor_cost,labor_burden_pct,material_cost,markup_pct,total_cost,is_anomaly,anomaly_type
steel,code_compliance,73.8,84.5,6238.33,0.299,8010.09,0.1076,15781.88,0,none
concrete,design_error,14.0,63.75,892.22,0.335,1237.89,0.0718,2283.06,0,none
general,owner_directive,11.4,66.58,756.51,0.32,298.81,0.1432,1206.49,0,none
electrical,owner_directive,30.4,82.39,2504.94,0.347,1156.12,0.1215,4106.0,0,none
drywall,unforeseen_condition,47.9,55.47,2656.99,0.294,1237.44,0.1195,4359.67,0,none
hvac,value_engineering,53.9,85.84,4625.36,0.317,4063.61,0.1053,9603.99,0,none
hvac,code_compliance,15.8,288.17,4553.09,0.314,1148.86,0.1385,6491.67,1,labor_rate_spike
hvac,value_engineering,48.7,87.77,4275.04,0.311,3572.7,0.0824,8494.47,0,none
general,value_engineering,11.0,56.77,623.85,0.282,260.9,0.1006,973.74,0,none
electrical,unforeseen_condition,33.8,86.35,2915.02,0.332,15102.99,0.1088,19978.37,1,material_cost_spike
general,value_engineering,28.2,52.63,1483.8,0.338,721.23,0.1645,2567.67,0,none
electrical,design_error,18.7,88.87,1659.49,0.299,1695.57,0.1156,3742.93,0,none
plumbing,code_compliance,6.8,78.04,532.69,0.95,482.62,0.0993,1116.1,1,labor_burden_inflation
drywall,owner_directive,39.6,54.17,2143.56,0.343,764.88,0.1171,3249.06,0,none
steel,code_compliance,33.2,78.51,2604.91,0.625,3856.27,0.0537,6807.85,1,labor_burden_inflation
plumbing,code_compliance,26.2,207.47,5435.71,0.346,1394.62,0.099,7506.53,1,labor_rate_spike
mechanical,value_engineering,22.2,269.88,5991.34,0.344,2017.84,0.096,8778.06,1,labor_rate_spike
hvac,design_error,35.0,95.5,3345.66,0.289,6213.87,0.1419,10916.23,0,none
plumbing,owner_directive,19.7,80.55,1588.35,0.296,759.67,0.0954,2572.09,0,none
plumbing,unforeseen_condition,44.9,86.35,3877.25,0.291,3105.04,0.1243,7849.96,0,none
drywall,design_error,39.1,55.99,2188.95,0.289,1710.25,0.0968,4276.82,0,none
general,code_compliance,35.5,56.6,2007.62,0.308,575.74,0.1481,2966.01,0,none
hvac,design_error,50.3,91.63,4611.42,0.344,9964.85,0.1308,16483.21,0,none
electrical,value_engineering,16.2,69.74,1128.94,0.317,495.73,0.1054,1795.99,0,none
electrical,owner_directive,33.8,67.33,2278.38,0.336,1439.74,0.1165,4151.32,0,none
drywall,design_error,13.4,57.21,766.14,0.34,595.1,0.1469,1561.19,0,none
plumbing,code_compliance,41.7,76.88,3208.42,0.322,1942.02,0.1492,5918.78,0,none
hvac,unforeseen_condition,683.6,102.77,70253.57,0.286,3772.92,0.1045,81762.26,1,unrealistic_hours
general,value_engineering,39.6,64.46,2550.49,0.288,1303.48,0.1745,4526.58,0,none
electrical,owner_directive,28.6,68.51,1956.41,0.331,2273.44,0.0896,4608.82,0,none
electrical,code_compliance,27.4,81.59,2231.84,0.341,1472.76,0.1149,4130.26,0,none
hvac,owner_directive,13.0,80.42,1046.6,0.348,1314.54,0.0828,2556.57,0,none
plumbing,owner_directive,11.5,82.65,946.96,0.339,756.83,0.1438,1948.8,0,none
general,unforeseen_condition,14.5,50.43,732.98,0.293,291.89,0.1408,1169.22,0,none
electrical,design_error,22.9,91.18,2086.96,0.288,918.29,0.1302,3396.45,0,none
hvac,code_compliance,32.9,104.47,3434.89,0.299,4081.77,0.1227,8438.81,0,none
hvac,code_compliance,73.2,82.33,6023.82,0.334,10320.48,0.1318,18499.07,0,none
hvac,unforeseen_condition,59.0,75.99,4485.92,0.293,9940.19,0.1237,16211.32,0,none
drywall,code_compliance,42.0,67.1,2818.1,0.311,1799.98,0.1427,5277.3,0,none
mechanical,unforeseen_condition,19.9,79.14,1571.04,0.298,1561.25,0.0811,3386.33,0,none
electrical,value_engineering,25.7,84.85,2179.68,0.282,1126.65,0.0964,3624.95,0,none
plumbing,design_error,30.8,74.75,2300.69,0.285,1244.89,0.1164,3958.22,0,none
mechanical,design_error,45.6,72.86,3324.23,0.314,3834.31,0.1207,8022.62,0,none
hvac,owner_directive,74.7,93.26,6970.67,0.335,11195.37,0.1284,20497.83,0,none
plumbing,code_compliance,440.2,78.12,34388.42,0.331,526.46,0.1266,39335.1,1,unrealistic_hours
electrical,value_engineering,5.6,94.74,528.51,0.311,295.48,0.1078,912.78,0,none
hvac,unforeseen_condition,70.6,79.22,5594.16,0.286,9087.63,0.1496,16877.52,0,none
hvac,design_error,18.1,95.65,1733.13,0.315,2310.54,0.0819,4374.96,0,none
plumbing,unforeseen_condition,41.0,91.79,3760.39,0.318,1995.1,0.1425,6575.53,0,none
general,owner_directive,36.0,64.69,2329.15,0.315,1473.95,0.1043,4199.72,0,none
steel,unforeseen_condition,36.5,103.17,3770.23,0.328,6121.9,0.103,10910.86,0,none
concrete,code_compliance,70.3,69.43,4882.56,0.338,8878.3,0.0785,14841.52,0,none
steel,value_engineering,15.6,84.89,1323.05,0.33,2149.47,0.0689,3711.74,0,none
concrete,code_compliance,9.8,77.58,758.16,0.305,626.26,0.0791,1493.98,0,none
concrete,design_error,59.0,76.68,4524.42,0.328,7054.49,0.0988,12723.18,0,none
general,unforeseen_condition,28.3,62.17,1757.42,0.314,1009.19,0.1384,3149.41,0,none
general,code_compliance,24.0,69.25,1664.66,0.331,558.23,0.1242,2498.9,0,none
hvac,value_engineering,21.1,101.43,2136.34,0.281,3650.36,0.1456,6629.12,0,none
steel,unforeseen_condition,74.7,81.97,6121.38,0.337,10731.62,0.0813,18222.73,0,none
general,value_engineering,10.5,74.85,788.16,0.905,241.97,0.1026,1135.84,1,labor_burden_inflation
steel,owner_directive,76.8,92.24,7087.72,0.322,12792.09,0.0636,21144.1,0,none
steel,value_engineering,39.9,76.2,3041.0,0.329,4912.15,0.072,8525.91,0,none
hvac,design_error,44.6,90.5,4037.9,0.282,4146.27,0.3837,11324.44,1,inflated_markup
concrete,code_compliance,55.1,55.46,3055.1,0.286,3804.84,0.0717,7351.73,0,none
drywall,owner_directive,40.8,236.65,9655.32,0.325,1491.04,0.1019,12282.17,1,labor_rate_spike
plumbing,design_error,9.7,73.2,706.75,0.334,589.78,0.1273,1461.56,0,none
plumbing,code_compliance,49.5,79.01,3909.95,0.341,3843.87,0.085,8412.88,0,none
electrical,owner_directive,36.9,84.86,3127.52,0.311,3367.15,0.1151,7242.39,0,none
hvac,unforeseen_condition,61.1,87.64,5355.37,0.305,5567.14,0.0877,11880.77,0,none
plumbing,design_error,21.4,82.93,1777.2,0.335,767.76,0.107,2817.3,0,none
drywall,value_engineering,24.1,52.51,1266.79,0.603,465.1,0.1234,1945.6,1,labor_burden_inflation
general,code_compliance,15.3,62.39,953.18,0.307,514.91,0.1176,1640.74,0,none
hvac,unforeseen_condition,64.1,103.86,6661.07,0.333,13446.03,0.1295,22710.1,0,none
concrete,code_compliance,47.5,59.44,2825.29,0.309,3410.54,0.0945,6825.02,0,none
electrical,unforeseen_condition,6.6,67.16,440.94,0.332,191.71,0.147,725.62,0,none
drywall,owner_directive,35.6,45.08,1606.29,0.316,791.92,0.7827,4275.29,1,inflated_markup
mechanical,unforeseen_condition,34.1,93.43,3188.36,0.291,2532.03,0.5637,8944.97,1,inflated_markup
hvac,owner_directive,33.0,85.91,2839.1,0.615,3717.71,0.1251,7377.19,1,labor_burden_inflation
hvac,code_compliance,14.6,262.68,3835.13,0.301,1340.32,0.1072,5730.26,1,labor_rate_spike
mechanical,owner_directive,44.9,71.39,3207.28,0.702,3020.48,0.1378,7085.64,1,labor_burden_inflation
concrete,code_compliance,20.6,60.88,1255.89,0.332,1692.6,0.1184,3297.56,0,none
steel,code_compliance,96.6,86.05,8313.41,0.306,8437.63,0.1123,18632.94,0,none
plumbing,design_error,41.9,90.24,3778.19,0.327,3448.32,0.0892,7871.03,0,none
general,design_error,271.4,60.74,16484.84,0.342,150.35,0.1132,18518.29,1,unrealistic_hours
general,owner_directive,39.7,52.81,2098.49,0.302,539.67,0.144,3018.03,0,none
steel,unforeseen_condition,78.8,95.49,7523.84,0.345,18417.29,0.0705,27768.74,0,none
hvac,unforeseen_condition,69.6,75.85,5276.81,0.33,6186.77,0.1242,12887.1,0,none
plumbing,design_error,7.0,74.97,522.73,0.299,235.57,0.106,838.68,0,none
mechanical,design_error,32.1,77.25,2478.49,0.332,3308.42,0.1065,6403.12,0,none
general,design_error,17.2,51.61,886.87,0.336,558.86,0.779,2571.95,1,inflated_markup
steel,design_error,56.5,85.21,4817.62,0.284,25029.1,0.1123,33198.51,1,material_cost_spike
electrical,design_error,10.9,93.77,1024.42,0.304,943.13,0.1265,2216.45,0,none
electrical,owner_directive,13.3,90.52,1199.64,0.317,805.68,0.1149,2235.73,0,none
concrete,value_engineering,60.3,67.82,4089.16,0.281,4413.56,0.051,8936.17,0,none
plumbing,design_error,34.3,87.56,3004.14,0.327,3631.63,0.0986,7289.75,0,none
plumbing,design_error,35.6,73.33,2608.75,0.284,1423.9,0.14,4597.35,0,none
mechanical,unforeseen_condition,45.4,99.0,4496.94,0.345,5066.22,0.0863,10388.83,0,none
general,value_engineering,16.1,65.16,1050.9,0.286,487.97,0.1253,1731.63,0,none
plumbing,unforeseen_condition,32.5,90.34,2932.05,0.306,3046.08,0.1161,6672.2,0,none
hvac,code_compliance,67.4,92.26,6215.86,0.288,14280.32,0.101,22566.55,0,none
steel,value_engineering,90.1,98.36,8862.17,0.31,24209.72,0.0667,35276.75,0,none
mechanical,unforeseen_condition,34.1,363.45,12393.65,0.292,1540.35,0.1019,15353.87,1,labor_rate_spike
plumbing,unforeseen_condition,13.6,75.14,1019.72,0.344,520.46,0.1183,1722.33,0,none
mechanical,code_compliance,59.7,85.47,5099.84,0.337,4570.21,0.1385,11009.49,0,none
concrete,value_engineering,33.3,59.23,1974.02,0.325,2845.59,0.0855,5231.66,0,none
hvac,design_error,48.6,94.73,4607.48,0.317,9938.12,0.1211,16306.43,0,none
general,design_error,18.2,72.42,1319.06,0.348,845.69,0.1388,2465.25,0,none
mechanical,value_engineering,25.6,71.68,1836.25,0.294,2633.01,0.1488,5134.48,0,none
drywall,unforeseen_condition,6.2,66.11,412.29,0.332,225.97,0.0952,699.02,0,none
general,owner_directive,30.2,60.74,1837.18,0.342,607.45,0.1476,2805.36,0,none
plumbing,unforeseen_condition,42.2,89.52,3778.44,0.329,3769.85,0.793,13534.08,1,inflated_markup
plumbing,value_engineering,11.8,71.49,843.06,0.3,839.55,0.0801,1817.35,0,none
plumbing,owner_directive,14.0,78.46,1101.47,0.304,1183.09,0.1431,2611.59,0,none
steel,value_engineering,20.1,292.18,5872.82,0.313,4034.72,0.1151,11047.9,1,labor_rate_spike
drywall,value_engineering,14.3,61.04,875.91,0.293,382.07,0.0845,1364.31,0,none
plumbing,design_error,42.2,87.0,3673.16,0.306,1653.34,0.0816,5761.24,0,none
concrete,code_compliance,52.1,56.01,2918.93,0.319,4406.38,0.0806,7916.07,0,none
plumbing,unforeseen_condition,44.7,82.24,3676.4,0.32,2978.13,0.0968,7298.99,0,none
mechanical,value_engineering,12.2,88.68,1084.82,0.329,670.01,0.085,1904.04,0,none
hvac,value_engineering,55.2,267.82,14783.66,0.299,7179.43,0.1122,24427.35,1,labor_rate_spike
drywall,code_compliance,59.8,47.96,2868.33,0.338,1972.32,0.1086,5366.4,0,none
drywall,code_compliance,574.1,68.39,39262.7,0.307,1394.52,0.1047,44914.03,1,unrealistic_hours
steel,value_engineering,25.0,75.2,1881.54,0.639,4467.3,0.1126,7063.56,1,labor_burden_inflation
general,design_error,22.3,72.44,1614.1,0.297,822.81,0.1783,2871.46,0,none
steel,code_compliance,10.2,83.19,850.25,0.336,1296.46,0.101,2363.49,0,none
plumbing,design_error,48.2,71.49,3443.03,0.639,1676.57,0.0847,5553.39,1,labor_burden_inflation
concrete,code_compliance,43.2,62.69,2709.98,0.335,2273.01,0.0538,5250.9,0,none
general,value_engineering,25.2,67.6,1705.63,0.347,696.61,0.1687,2807.42,0,none
general,unforeseen_condition,33.2,65.72,2179.25,0.31,1185.79,0.1609,3906.4,0,none
plumbing,unforeseen_condition,6.0,94.38,561.89,0.281,1780.4,0.1245,2633.91,1,material_cost_spike
mechanical,code_compliance,44.7,75.28,3365.34,0.299,3741.99,0.0964,7792.43,0,none
drywall,design_error,43.5,68.02,2959.64,0.299,1938.77,0.1403,5585.74,0,none
hvac,design_error,43.1,102.81,4431.04,0.316,6421.06,0.098,11915.64,0,none
mechanical,value_engineering,13.3,86.01,1139.78,0.293,1594.54,0.1426,3124.28,0,none
plumbing,owner_directive,44.6,93.08,4155.19,0.335,3819.56,0.1055,8815.75,0,none
steel,code_compliance,33.1,76.49,2534.48,0.332,4070.19,0.0659,7039.85,0,none
plumbing,unforeseen_condition,4.4,74.58,328.74,0.293,206.83,0.1138,596.52,0,none
hvac,design_error,46.4,91.92,4263.2,0.302,4006.43,0.1214,9273.45,0,none
concrete,unforeseen_condition,49.1,58.38,2867.17,0.342,2889.86,0.0963,6311.45,0,none
mechanical,unforeseen_condition,30.5,93.62,2858.7,0.329,2946.5,0.0974,6370.55,0,none
hvac,owner_directive,797.2,95.42,76068.82,0.327,8217.97,0.1253,94847.92,1,unrealistic_hours
mechanical,unforeseen_condition,16.1,80.23,1294.71,0.318,1616.71,0.144,3330.75,0,none
concrete,owner_directive,61.2,55.54,3397.86,0.292,6032.69,0.1104,10471.3,0,none
plumbing,value_engineering,42.1,70.85,2980.08,0.333,2904.99,0.1269,6631.6,0,none
steel,owner_directive,11.3,92.37,1045.14,0.307,1504.57,0.0923,2785.15,0,none
general,design_error,6.0,52.67,314.17,0.288,1100.75,0.1648,1648.1,1,material_cost_spike
hvac,code_compliance,64.8,101.57,6577.94,0.315,8676.92,0.1016,16804.28,0,none
plumbing,code_compliance,9.6,80.72,776.35,0.317,548.95,0.0893,1443.69,0,none
electrical,unforeseen_condition,4.5,217.55,978.98,0.284,348.28,0.08,1433.44,1,labor_rate_spike
mechanical,design_error,20.5,70.67,1449.42,0.298,1367.23,0.1243,3166.88,0,none
electrical,design_error,27.5,195.25,5369.38,0.348,985.1,0.0874,6909.86,1,labor_rate_spike
electrical,design_error,37.5,74.87,2810.47,0.298,2634.1,0.0997,5987.38,0,none
drywall,unforeseen_condition,486.0,48.47,23556.42,0.288,865.74,0.0872,26551.77,1,unrealistic_hours
hvac,unforeseen_condition,70.3,88.87,6245.67,0.34,6562.4,0.1302,14475.65,0,none
hvac,code_compliance,39.6,81.53,3226.07,0.344,4776.99,0.1147,8921.34,0,none
mechanical,value_engineering,32.3,74.16,2398.17,0.992,2126.33,0.1027,4988.99,1,labor_burden_inflation
mechanical,code_compliance,57.1,72.57,4145.98,0.289,3038.57,0.0959,7873.21,0,none
plumbing,design_error,33.3,191.14,6364.96,0.324,2142.23,0.1164,9497.43,1,labor_rate_spike
mechanical,value_engineering,29.1,93.06,2707.07,0.345,3373.96,0.1349,6901.61,0,none
hvac,value_engineering,56.4,101.08,5695.63,0.323,5147.73,0.1265,12214.89,0,none
mechanical,value_engineering,30.4,81.22,2473.05,0.29,7916.53,0.1188,11623.86,1,material_cost_spike
drywall,owner_directive,10.7,49.22,528.82,0.309,203.5,0.0989,804.71,0,none
drywall,value_engineering,46.1,66.65,3072.09,0.307,2411.78,0.1458,6283.47,0,none
concrete,owner_directive,18.8,66.64,1254.12,0.288,6136.95,0.0593,7829.36,1,material_cost_spike
drywall,owner_directive,16.7,69.56,1161.21,0.341,444.5,0.0839,1740.5,0,none
hvac,value_engineering,56.4,90.8,5123.02,0.323,9898.66,0.0929,16417.13,0,none
concrete,unforeseen_condition,11.2,274.23,3071.38,0.348,747.13,0.0864,4148.43,1,labor_rate_spike
plumbing,code_compliance,16.4,71.75,1173.6,0.332,600.91,0.1174,1982.78,0,none
drywall,code_compliance,15.3,51.56,789.24,0.29,268.16,0.0866,1148.93,0,none
mechanical,unforeseen_condition,6.6,97.62,648.97,0.314,619.05,0.1318,1435.2,0,none
general,design_error,36.7,70.66,2591.21,0.865,745.59,0.1116,3709.24,1,labor_burden_inflation
concrete,unforeseen_condition,42.1,64.46,2711.6,0.309,3417.68,0.1136,6825.27,0,none
electrical,value_engineering,25.8,70.78,1828.26,0.33,1617.16,0.1168,3847.86,0,none
plumbing,owner_directive,49.8,78.85,3930.63,0.305,2715.97,0.0817,7189.72,0,none
concrete,value_engineering,67.7,62.95,4260.59,0.706,2849.39,0.0951,7786.3,1,labor_burden_inflation
mechanical,value_engineering,28.0,84.9,2376.97,0.336,2624.24,0.1433,5717.84,0,none
general,code_compliance,37.7,50.25,1896.2,0.297,915.17,0.1257,3164.89,0,none
concrete,code_compliance,38.0,66.53,2530.96,0.339,8966.11,0.1124,12789.34,1,material_cost_spike
concrete,code_compliance,627.8,72.67,45622.23,0.311,2771.62,0.0953,53005.78,1,unrealistic_hours
electrical,code_compliance,38.8,94.36,3656.91,0.301,2479.51,0.0986,6741.38,0,none
plumbing,value_engineering,42.8,90.53,3874.25,0.335,2820.19,0.1034,7386.34,0,none
electrical,owner_directive,31.7,73.86,2340.88,0.294,1963.52,0.1067,4763.83,0,none
electrical,value_engineering,17.0,250.43,4257.31,0.345,1602.29,0.0805,6331.3,1,labor_rate_spike
hvac,unforeseen_condition,51.1,89.05,4548.7,0.282,3839.75,0.0992,9220.94,0,none
steel,design_error,72.9,81.64,5948.92,0.298,14804.38,0.0943,22709.49,0,none
drywall,unforeseen_condition,53.6,61.53,3297.89,0.328,1183.04,0.1007,4932.14,0,none
mechanical,value_engineering,21.6,71.34,1541.8,0.312,1328.38,0.0882,3123.29,0,none
general,value_engineering,18.1,69.37,1258.3,0.298,541.53,0.1371,2046.67,0,none
mechanical,value_engineering,58.2,90.47,5264.03,0.343,4148.64,0.0844,10206.69,0,none
steel,code_compliance,16.3,92.83,1511.38,0.281,1954.85,0.0638,3687.29,0,none
plumbing,value_engineering,18.4,71.34,1313.89,0.326,668.91,0.1206,2221.95,0,none
mechanical,design_error,59.8,99.23,5931.85,0.318,3394.48,0.1316,10553.6,0,none
mechanical,owner_directive,40.0,90.9,3632.71,0.336,4803.06,0.1315,9544.7,0,none
concrete,code_compliance,63.9,74.46,4756.9,0.322,5445.97,0.1058,11282.58,0,none
mechanical,code_compliance,43.4,74.71,3242.14,0.338,1931.19,0.1456,5926.79,0,none
general,unforeseen_condition,28.1,59.93,1681.09,0.343,533.78,0.1235,2488.29,0,none
hvac,owner_directive,679.3,82.24,55865.63,0.335,5459.38,0.0952,67163.15,1,unrealistic_hours
general,owner_directive,37.3,51.67,1925.25,0.283,651.34,0.1293,2909.84,0,none
plumbing,code_compliance,34.8,81.12,2818.96,0.318,2377.09,0.0812,5618.23,0,none
steel,value_engineering,37.7,86.1,3245.1,0.344,4298.37,0.0828,8167.87,0,none
mechanical,design_error,45.9,79.13,3632.6,0.309,3166.76,0.1218,7627.72,0,none
plumbing,owner_directive,19.3,94.69,1829.44,0.344,1474.78,0.1346,3748.82,0,none
concrete,value_engineering,26.0,71.89,1867.49,0.331,2222.46,0.116,4564.49,0,none
drywall,design_error,7.2,62.99,453.22,0.311,258.24,0.1323,805.6,0,none
concrete,owner_directive,53.4,77.3,4131.13,0.32,6163.31,0.0852,11171.36,0,none
steel,unforeseen_condition,54.0,87.99,4748.05,0.31,5064.57,0.084,10637.07,0,none
drywall,code_compliance,15.8,50.31,795.81,0.317,319.83,0.1013,1228.65,0,none
general,value_engineering,9.2,61.78,566.19,0.291,244.46,0.1725,950.52,0,none
concrete,design_error,45.3,78.55,3561.0,0.283,3395.13,0.0664,7417.9,0,none
hvac,code_compliance,38.9,77.03,2994.06,0.338,6019.13,0.1339,10219.71,0,none
drywall,owner_directive,31.7,259.39,8222.66,0.335,1103.06,0.1414,10644.38,1,labor_rate_spike
steel,design_error,30.7,76.11,2336.81,0.346,2968.13,0.6694,8856.07,1,inflated_markup
mechanical,code_compliance,6.9,220.31,1520.14,0.296,500.5,0.1192,2261.5,1,labor_rate_spike
plumbing,design_error,258.2,85.81,22156.14,0.29,2647.97,0.148,28475.12,1,unrealistic_hours
plumbing,unforeseen_condition,12.2,94.9,1159.25,0.294,1391.95,0.1063,2822.46,0,none
hvac,owner_directive,65.8,80.5,5298.22,0.315,6998.97,0.136,13969.19,0,none
plumbing,unforeseen_condition,33.0,74.36,2452.65,0.349,2097.66,0.0997,5003.89,0,none
mechanical,design_error,46.3,77.58,3588.26,0.303,3713.08,0.1341,8280.29,0,none
electrical,owner_directive,36.0,86.26,3107.45,0.324,1828.15,0.1044,5450.73,0,none
drywall,value_engineering,11.1,53.23,592.04,0.34,483.17,0.0987,1181.39,0,none
general,value_engineering,39.3,73.31,2883.58,0.308,1642.81,0.1252,5093.02,0,none
plumbing,value_engineering,314.4,83.67,26305.85,0.283,4351.22,0.089,33385.55,1,unrealistic_hours
drywall,unforeseen_condition,57.4,69.88,4009.92,0.307,1754.26,0.1408,6575.8,0,none
steel,owner_directive,66.4,89.02,5909.53,0.313,13710.68,0.1178,21932.11,0,none
hvac,value_engineering,40.1,91.16,3657.54,0.283,5289.58,0.1129,9957.57,0,none
concrete,code_compliance,47.0,74.68,3508.35,0.342,3251.14,0.0595,7161.94,0,none
plumbing,owner_directive,25.7,86.51,2219.68,0.284,1193.81,0.1221,3830.34,0,none
drywall,owner_directive,30.2,51.62,1560.4,0.335,868.38,0.1265,2735.91,0,none
general,unforeseen_condition,11.3,53.98,611.78,0.312,170.78,0.1123,870.44,0,none
electrical,owner_directive,322.8,79.98,25817.54,0.291,1530.21,0.0838,29639.49,1,unrealistic_hours
drywall,design_error,37.8,52.79,1995.19,0.317,693.18,0.1301,3038.07,0,none
electrical,unforeseen_condition,28.1,76.68,2155.38,0.311,1045.4,0.4501,4641.45,1,inflated_markup
drywall,unforeseen_condition,42.6,69.82,2976.79,0.286,1951.8,0.0949,5396.33,0,none
concrete,unforeseen_condition,10.3,63.31,650.61,0.328,672.48,0.0959,1449.91,0,none
plumbing,value_engineering,27.3,76.39,2085.93,0.342,2464.55,0.1202,5097.65,0,none
plumbing,unforeseen_condition,20.0,71.82,1437.97,0.294,1350.8,0.1259,3139.75,0,none
concrete,value_engineering,41.1,70.95,2914.0,0.93,5205.81,0.0653,8650.26,1,labor_burden_inflation
plumbing,code_compliance,47.6,90.27,4298.97,0.347,2049.48,0.0913,6928.07,0,none
general,design_error,37.0,59.64,2203.95,0.349,1199.24,0.1404,3881.03,0,none
mechanical,value_engineering,12.8,83.38,1071.17,0.281,3262.56,0.1081,4802.21,1,material_cost_spike
hvac,design_error,33.2,83.9,2783.56,0.293,5028.04,0.1263,8798.17,0,none
hvac,code_compliance,32.1,97.36,3124.97,0.311,2728.38,0.0941,6404.09,0,none
electrical,code_compliance,27.3,80.11,2186.01,0.296,1438.05,0.0932,3961.8,0,none
steel,unforeseen_condition,56.9,77.8,4425.1,0.347,10786.45,0.1081,16856.12,0,none
mechanical,value_engineering,49.2,93.69,4610.54,0.701,2750.83,0.1376,8374.04,1,labor_burden_inflation
electrical,value_engineering,22.4,78.19,1749.55,0.286,1004.34,0.1022,3035.21,0,none
electrical,code_compliance,39.5,66.38,2623.64,0.306,1514.1,0.0889,4505.43,0,none
electrical,value_engineering,22.0,360.04,7920.88,0.341,1243.16,0.1492,10531.31,1,labor_rate_spike
steel,unforeseen_condition,77.3,79.15,6121.14,0.332,9878.22,0.1048,17676.17,0,none
steel,value_engineering,62.0,83.36,5170.14,0.302,8829.75,0.0837,15171.38,0,none
plumbing,unforeseen_condition,8.5,74.93,636.16,0.338,330.22,0.1447,1106.18,0,none
electrical,owner_directive,12.9,93.63,1208.27,0.301,1128.41,0.1108,2595.49,0,none
drywall,unforeseen_condition,25.0,59.07,1477.55,0.281,872.29,0.0862,2552.49,0,none
electrical,unforeseen_condition,10.7,86.72,927.45,0.291,1034.91,0.138,2233.06,0,none
general,value_engineering,363.2,71.09,25819.89,0.331,1324.27,0.1661,31652.8,1,unrealistic_hours
hvac,owner_directive,43.8,86.26,3781.72,0.308,4364.66,0.0969,8936.04,0,none
plumbing,code_compliance,12.3,93.17,1149.09,0.346,1286.04,0.0839,2639.52,0,none
steel,value_engineering,84.5,84.8,7166.26,0.312,9417.91,0.1176,18533.93,0,none
steel,design_error,73.1,345.58,25261.9,0.308,14768.26,0.0929,43748.96,1,labor_rate_spike
drywall,value_engineering,32.0,53.41,1709.35,0.344,1066.2,0.1147,3093.85,0,none
electrical,code_compliance,21.5,89.75,1926.95,0.293,1488.73,0.1013,3761.8,0,none
mechanical,owner_directive,6.9,89.12,618.74,0.289,3398.45,0.1458,4602.9,1,material_cost_spike
plumbing,code_compliance,22.9,88.22,2019.72,0.286,1496.3,0.4073,4948.09,1,inflated_markup
general,code_compliance,38.7,66.59,2576.03,0.284,1168.38,0.1749,4399.48,0,none
steel,code_compliance,34.3,382.25,13111.17,0.301,3016.12,0.1106,17910.97,1,labor_rate_spike
concrete,code_compliance,49.4,70.26,3470.63,0.305,4603.53,0.0738,8669.83,0,none
mechanical,code_compliance,12.8,82.34,1056.02,0.336,586.21,0.1236,1845.19,0,none
hvac,value_engineering,78.6,83.27,6545.71,0.301,13152.22,0.1022,21710.42,0,none
steel,value_engineering,43.0,89.95,3871.52,0.314,9974.58,0.0579,14647.65,0,none
steel,owner_directive,55.5,78.05,4334.83,0.283,5411.03,0.0527,10259.71,0,none
hvac,owner_directive,79.6,89.31,7110.11,0.349,11590.51,0.0852,20293.64,0,none
general,value_engineering,34.0,71.52,2434.03,0.29,12016.04,0.1723,16939.82,1,material_cost_spike
electrical,design_error,7.0,71.13,500.39,0.291,417.77,0.0903,1001.09,0,none
mechanical,owner_directive,30.7,72.45,2227.76,0.346,1984.9,0.0916,4598.56,0,none
mechanical,unforeseen_condition,54.1,74.32,4021.21,0.29,5957.03,0.1002,10978.32,0,none
drywall,design_error,34.9,66.52,2320.99,0.302,933.76,0.101,3583.39,0,none
concrete,value_engineering,60.3,65.96,3978.93,0.294,6595.67,0.0972,11602.39,0,none
general,design_error,7.8,67.38,526.0,0.294,262.56,0.1229,885.48,0,none
steel,code_compliance,11.5,95.33,1095.58,0.325,1849.72,0.0659,3139.26,0,none
general,value_engineering,23.9,53.49,1276.51,0.283,436.49,0.1052,1893.24,0,none
general,owner_directive,30.1,70.72,2125.25,0.287,1325.8,0.1261,3886.11,0,none
concrete,design_error,37.2,75.84,2818.72,0.311,5021.91,0.0557,8277.35,0,none
plumbing,design_error,46.1,84.55,3896.73,0.32,2504.05,0.3135,8407.42,1,inflated_markup
plumbing,code_compliance,47.6,93.07,4426.89,0.283,3938.35,0.0948,9158.22,0,none
steel,unforeseen_condition,22.2,94.07,2086.24,0.345,3380.91,0.0714,5857.54,0,none
mechanical,design_error,15.7,75.93,1195.73,0.288,850.41,0.1168,2285.07,0,none
hvac,unforeseen_condition,24.4,84.34,2055.66,0.332,3108.97,0.1066,5714.92,0,none
concrete,value_engineering,52.0,58.78,3058.29,0.303,2603.81,0.1107,6288.99,0,none
general,owner_directive,29.7,68.05,2022.55,0.306,800.49,0.1101,3133.87,0,none
steel,code_compliance,55.1,97.03,5345.75,0.294,9975.55,0.0712,16412.09,0,none
mechanical,design_error,16.9,74.88,1266.45,0.323,1695.32,0.1438,3387.73,0,none
plumbing,owner_directive,14.4,75.68,1088.49,0.327,478.21,0.1223,1758.29,0,none
mechanical,owner_directive,14.4,99.45,1434.27,0.303,1056.59,0.3398,3337.25,1,inflated_markup
concrete,design_error,73.5,67.55,4965.84,0.336,6838.34,0.0907,12875.35,0,none
drywall,design_error,34.9,57.85,2016.41,0.336,1479.65,0.1013,3850.12,0,none
